kb index,description,web link
0,"Apache Error for One General Reason
This error may occur when attempting to access applications that have an index.php file (or other index file), but not an index.html or other specified ‘directory index’ file.
For example, phpMyAdmin includes an index.php file upon installation, but not an index.html file.",https://www.liquidweb.com/kb/apache-error-no-matching-directoryindex-index-html-found-solved/
,,https://stackoverflow.com/questions/49429267/ah01276-cannot-serve-directory-var-www-html-no-matching-directoryindex-inde
1,"My browser continuously prompts for a password but it's never accepted! The relevant error log should explain why this is happening. Common errors are: user foo: authentication failure for ""/"": Password Mismatch",https://stackoverflow.com/questions/24733244/configuring-apache2-ldap-and-understanding-ldap-configuration
,,https://stackoverflow.com/questions/15751242/apache-2-4-authentication-failure-password-mismatch
2,"You have passed invalid credentials (user name and/or password) when trying to connect to the database. This error comes because you are using the wrong Database, Username or Password.
If you are the Database Administrator, you can go to your cPanel and check the Database, Username, and Password and mention correct information. 
One more thing to remember that the user should be connected to the same database and also have All Privileges.",https://stackoverflow.com/questions/25174183/warning-mysqli-connect-hy000-1045-access-denied-for-user-usernameloca
3,"ParseError is thrown when an error occurs while parsing PHP code, such as when eval() is called.",https://stackoverflow.com/questions/26980104/parse-error-syntax-error-unexpected-return-t-return
,,https://www.php.net/manual/en/class.parseerror.php
,,https://stackoverflow.com/questions/18050071/php-parse-syntax-errors-and-how-to-solve-them
4,"Authentication is any process by which you verify that someone is who they claim they are. Authorization is any process by which someone is allowed to be where they want to go, or to have information that they want to have.",https://stackoverflow.com/questions/24115912/apache2-ldap-subgroup-check
5,"The require_once statement is identical to require except PHP will check if the file has already been included, and if so, not include (require) it again.",https://stackoverflow.com/questions/45242227/warning-require-oncedbconnect-php-failed-to-open-stream-no-such-file-or-dir
,,https://www.php.net/manual/pt_BR/function.require-once.php
6,"A PHP Error occurs when something is wrong in the PHP code. The error can be as simple as a missing semicolon, or as complex as calling an incorrect variable. Fatal errors are ones that crash your program and are classified as critical errors. An undefined function or class in the script is the main reason for this type of error.",https://phoenixnap.com/kb/php-error-types#htoc-fatal-error
,,https://stackoverflow.com/questions/5364233/php-fatal-error-failed-opening-required-file
7,"A warning error in PHP does not stop the script from running. It only warns you that there is a problem, one that is likely to cause bigger issues in the future. The most common causes of warning errors are: Calling on an external file that does not exist in the directory. Wrong parameters in a function.",https://stackoverflow.com/questions/36577020/php-failed-to-open-stream-no-such-file-or-directory
